dga_family,actor_name,actor_aliases,relationship_type,attribution_status,confidence,source_name,source_url,notes
alureon,TDSS/TDL4 operators,,malware_family_operator,reported_operator,0.35,Malpedia Alureon,https://malpedia.caad.fkie.fraunhofer.de/details/win.alureon,"Alureon is tracked with TDSS/TDL4 aliases. No stable public actor name is stored, so this is only an operator-level lead."
bazarbackdoor,UNC1878,,malware_used_by_actor,possible_actor,0.70,Malpedia BazarBackdoor,https://malpedia.caad.fkie.fraunhofer.de/details/win.bazarbackdoor,"Malpedia lists UNC1878 as an actor for BazarBackdoor. Treat as a family-to-actor lead, not standalone attribution."
bumblebee,EXOTIC LILY;GOLD CABIN;TA578;TA579,COLDTRAIN;SHELLSTING;Shindig,shared_loader_used_by_multiple_actors,shared_tool,0.70,Malpedia BumbleBee,https://malpedia.caad.fkie.fraunhofer.de/details/win.bumblebee,Shared loader associated with multiple financially motivated actors. Do not collapse to a single APT.
ccleaner,Axiom / Group 72,Barium;Wicked Panda,reported_code_or_campaign_overlap,possible_actor,0.50,Wired CCleaner malware targeted tech firms,https://www.wired.com/story/ccleaner-malware-targeted-tech-firms,Public reporting described code and campaign overlap. This is not strong enough for final attribution.
corebot,BOSON SPIDER,,malware_used_by_actor,possible_actor,0.65,Malpedia Corebot,https://malpedia.caad.fkie.fraunhofer.de/details/win.corebot,Malpedia references CrowdStrike reporting on Corebot and BOSON SPIDER. Treat as actor lead.
cryptolocker,GameOver Zeus operators,Evgeniy Bogachev;Slavik;lucky12345,distributed_or_enabled_by_infrastructure,possible_actor,0.65,U.S. DOJ Operation Tovar,https://www.justice.gov/archives/opa/pr/us-leads-multi-national-action-against-gameover-zeus-botnet-and-cryptolocker-ransomware,Operation Tovar publicly tied enforcement against GameOver Zeus and CryptoLocker. Use as infrastructure-level lead.
darkwatchman,Hive0117,,malware_used_by_actor,possible_actor,0.70,IBM X-Force Hive0117 DarkWatchman,https://www.ibm.com/think/x-force/new-hive0117-phishing-campaign-imitates-conscription-summons-deliver-darkwatchman-malware,Public reporting links DarkWatchman campaigns to Hive0117. Treat as actor lead not final attribution.
dyre,WIZARD SPIDER,Gold Blackburn;TEMP.MixMaster;TrickBot Gang,malware_used_by_actor,possible_actor,0.75,Malpedia Dyre,https://malpedia.caad.fkie.fraunhofer.de/details/win.dyre,Malpedia lists WIZARD SPIDER as an actor for Dyre.
ebury,Windigo,,malware_used_by_actor,confirmed_actor,0.85,MITRE ATT&CK Windigo,https://attack.mitre.org/groups/G0124/,MITRE tracks Windigo as a group using Ebury SSH backdoor.
emotet,MUMMY SPIDER,TA542,malware_operated_by_actor,confirmed_actor,0.85,CrowdStrike MUMMY SPIDER,https://www.crowdstrike.com/en-us/blog/meet-crowdstrikes-adversary-of-the-month-for-february-mummy-spider/,CrowdStrike describes MUMMY SPIDER as linked to core Emotet/Geodo development and operation.
emotet,Mealybug,,malware_used_by_actor,possible_actor,0.70,Malpedia Emotet,https://malpedia.caad.fkie.fraunhofer.de/details/win.emotet,Malpedia lists Mealybug among Emotet actors. Keep as a lead until campaign context confirms it.
emotet,GOLD CABIN,,malware_distribution_service,shared_tool,0.70,Malpedia Emotet,https://malpedia.caad.fkie.fraunhofer.de/details/win.emotet,Malpedia lists GOLD CABIN among Emotet actors. Treat as shared delivery/infrastructure context.
flubot,FluBot operators,,malware_family_operator,reported_operator,0.65,Europol FluBot takedown,https://www.europol.europa.eu/media-press/newsroom/news/takedown-of-sms-based-flubot-spyware-infecting-android-phones,Europol reported a coordinated takedown and seizure of FluBot infrastructure. Use as cybercrime operator context.
gameover,GameOver Zeus operators,Evgeniy Bogachev;Slavik;lucky12345,operator_reported,reported_operator,0.80,U.S. DOJ Operation Tovar,https://www.justice.gov/archives/opa/pr/us-leads-multi-national-action-against-gameover-zeus-botnet-and-cryptolocker-ransomware,Public legal reporting names the alleged GameOver Zeus botnet administrator. This is an operator lead rather than APT attribution.
gozi,GOLD CABIN,,payload_distributed_by_actor,possible_actor,0.55,Malpedia GOLD CABIN,https://malpedia.caad.fkie.fraunhofer.de/actor/gold_cabin,Malpedia actor page says GOLD CABIN second-stage payloads are frequently Gozi ISFB/Ursnif or IcedID. Treat as distributor context.
infy,Infy,Prince of Persia;Foudre,malware_used_by_actor,confirmed_actor,0.85,Malpedia Infy actor,https://malpedia.caad.fkie.fraunhofer.de/actor/infy,Infy is tracked as a suspected Iranian threat actor and malware/campaign set.
locky,TA505,,malware_used_by_actor,possible_actor,0.70,Malpedia Locky,https://malpedia.caad.fkie.fraunhofer.de/details/win.locky,Malpedia lists TA505 as actor for Locky. Treat as actor lead unless campaign evidence confirms it.
