id,name,aliases,origin,region,target_countries,target_industries,update_time,description_zh,ioc_count,event_count
1,魔罗桫,Confucius | G0142,印度,南亚,俄罗斯 | 美国 | 波兰 | 印度 | 法国 | 英国 | 中国 | 乌克兰 | 印度尼西亚 | 孟加拉 | 伊朗 | 西班牙 | 巴基斯坦,政府 | 军事,2025/4/16,魔罗桫（Confucius）是南亚背景的高级持续性威胁（APT）组织，主要由印度资助，自2013年起活跃。其攻击活动集中在南亚地区，针对政府机构、军工企业、核能行业、智库及媒体等目标。该组织以钓鱼攻击、恶意文档利用和远程访问木马（RAT）为核心手法，同时持续创新攻击技术，包括利用链接文件(LNK)、SFX自解压文件和Android间谍软件。其钓鱼机制通常要求两次密码验证后才会触发实际攻击流程，攻击基础设施可能与其他APT组织共享或统一管理。,100,9
2,黄金鼠,Golden Rat | Goldmouse | APT-Q-64 | APT-C-27 | ATK 80,未知,中东,叙利亚 | 土耳其,政府 | 教育 | 军事 | 科研机构,2025/4/21,黄金鼠是一个最早由奇安信披露的APT组织。该组织在叙利亚地区活跃，其具备Windows和Android平台的恶意攻击能力。自2014年11月以来，黄金鼠组织（APT-C-27）对叙利亚地区发动了有组织、有计划、有针对性的长期不间断攻击。,100,5
3,DarkCaracal,G0070,黎巴嫩,中东,美国,政府 | 金融 | 能源 | 医疗,2025/2/28,Dark Caracal是在Lookout 和电子前沿基金会 (EFF) 2018年联合发布的报告中被披露的一个APT组织，报告认为该组织由位于黎巴嫩首都贝鲁特的国家安全局管理。Dark Caracal至少从2012年开始运作，在多种平台上对全球范围内的目标发动攻击，是首批公开的执行全球间谍行动的移动平台的 APT 威胁组织之一。该组织一直在进行一个多平台、APT层次的针对全球个人和机构的监视行动，窃取企业知识产权和个人身份信息。其攻击目标包括政府、军事目标、公用事业、金融机构、制造公司和国防承包商。Dark Caracal主要依靠社会工程通过流行的应用，如WhatsApp来破坏目标系统、设备和帐户。攻击者设计了三种不同类型的网络钓鱼消息，其目标是最终将受害者带到由 Dark Caracal 控制的水坑。在某些情况下还通过对目标系统、设备和帐户的物理访问进行攻击。其攻击模式与客户端的网络间谍的供应链类似。Android工具包括植入Lookout的安卓监控软件Pallas9和FinFisher样本。该组织的Windows工具有Bandook恶意软件和CrossRAT，该工具可以感染Windows，linux和OS X操作系统。Check Point 2020 年的报告显示，Dark Caracal攻击者开始使用签名的可执行文件来针对各个国家的许多垂直行业。,100,3
4,人面狮,APT-C-15 | APT-Q-62 | Sphinx,未知,中东,埃及 | 以色列,公共管理 | 社会保障 | 社会组织,2017/12/19,人面狮最早由奇安信威胁情报中心于2016年7月发现并命名，该组织活跃在中东地区的网络间谍活动，主要目标可能涉及到埃及和以色列等国家的不同组织，目的是窃取目标敏感数据信息。活跃时间主要集中在2014年6月到2015年11月期间，相关攻击活动最早可以追溯到2011年12月。2017年12月，国外安全厂商趋势科技发布报告，人面狮使用AnubisSpy移动端恶意软件进行攻击。人面狮APT组织主要采用利用社交网络进行水坑攻击，人面狮样本将主程序进行伪装成文档诱导用户点击，然后释放一系列的dll，根据功能分为9个插件模块，通过注册资源管理器插件的方式来实现核心dll自启动，然后由核心dll根据配置文件进行远程dll注入，将其他功能dll模块注入的对应的进程中，所以程序运行的时候是没有主程序的。,43,2
5,军刀狮,TG-2884 | Cobalt Juno | ZooPark | APT-Q-66 | Saber Lion | APT-C-38,未知,中东,科威特 | 伊拉克 | 摩洛哥 | 埃及 | 阿尔及利亚 | 黎巴嫩 | 约旦 | 土耳其 | 阿富汗 | 伊朗,文化 | 体育 | 国际组织,2019/5/27,ZooPark（军刀狮）组织最早是由Kaspersky于2018披露并命名的组织，该组织自2015开始活跃，主要攻击目标为伊朗、约旦、埃及、黎巴嫩等中东地区国家，其攻击武器共包含四个迭代版本的Android端RAT，且版本间代码复杂度提升极大。2019年，360烽火实验室再次捕获该组织针对中东地区库尔德人攻击活动中的Android及Windows平台样本，并将该组织命名为军刀狮。此次攻击活动仍然以水坑攻击以及Telegram频道为主，分发伪装成正常APP的RAT样本。,92,3
6,双尾蝎,Renegade Jackal | APT-Q-63 | ATK 66 | Mantis | Niobium | BigBang | Pinstripe Lightning | APT-C-23 | Desert Falcons | DESERTVARNISH | TAG-CT1 | Arid Viper | TAG-63 | Scimitar | Two-tailed Scorpion | UNC718 | AridViper | Big Bang,巴勒斯坦,中东,也门 | 以色列 | 俄罗斯 | 美国 |,公共管理 | 社会保障 | 社会组织 | 交通运输 | 供应业 | 文化 | 体育 | 教育,2024/6/13,Arid Viper行动最早由趋势科技在2015年二月报告中提出，最后归属于双尾蝎组织。Desert Falcons是由卡巴斯基在2016年命名。该组织至少从2011年开始运营。其母语为阿拉伯语。2016 年 5 月起，双尾蝎组织（APT-C-23）对巴勒斯坦教育机构、军事机构等重要领域展开长时间不间断攻击。其攻击行业包括基础设施，国防、教育、政府、媒体、交通等。攻击的国家包括但不限于美国，韩国巴基斯坦，巴勒斯坦，日本，瑞典、以色列等。2016年七月左右，100多名以色列军人遭受攻击，此次攻击行动破坏了他们的服务器，并泄露了数据。并且被感染的主机会自动更新木马。此次行动使用了社会工程学，通过社交网络进行色情性暗示等优势受害者上钩，安装恶意安卓APP。近年来，AridViper 利用基于 Windows、iOS 和 Android 的恶意软件主要旨在从受感染的主机中窃取数据。该组织因使用有针对性的网络钓鱼电子邮件和虚假社交媒体资料来诱骗目标在其设备上安装恶意软件而闻名。2023年有报告称AridViper 似乎分为两个小组，一个小组针对以色列和中东地区任何可能参与巴勒斯坦事务的实体进行网络间谍活动，第二个小组重点针对巴勒斯坦哈马斯反对派（包括法塔赫竞争对手运动或个人）进行监视活动与巴勒斯坦权力机构有联系。,100,14
7,拍拍熊,APT-C-37 | Pat Bear | Racquet Bear | APT-Q-67,未知,中东,伊朗 | 法国 | 以色列 | 巴基斯坦,公共管理 | 社会保障 | 社会组织,2020/1/15,拍拍熊组织（APT-C-37从2015年10月起至今，开始针对某武装组织展开了有组织、有计划、针对性的长期不间断攻击。其攻击平台为Windows和Android，截止目前360烽火实验室（360 Beaconlab）一共捕获了Android平台攻击样本32个，Windows平台攻击样本13个，涉及的C&C域名7个。截至目前，360烽火实验室发现此次拍拍熊组织攻击活动影响到的国家共有11个，通过查询可以知悉这些国家均存在某武装组织组织人员。某武装组织由于其自身的政治、宗教等问题，使其成为了众多黑客及国家的攻击目标。2017年3月，某武装组织Amaq媒体频道发布了一条警告消息，该消息提醒访问者该网站已被渗透，任何访问该网站的人都会被要求下载伪装成Flash安装程序的病毒文件。从消息中我们确定了某武装组织是该行动的攻击目标，其载荷投递方式至少包括水坑式攻击。为更好的躲避被察觉到，除了对文件图标进行伪装外，还会把RAT插入到正常的APP中，如一款名为“????? ??????”的APP，它运行后展示的是正常时的界面，但当接收到指定的广播时，便在后台进行间谍活动。此次拍拍熊组织载荷投递的方式主要为水坑攻击。Al Swarm新闻社网站是一个属于某武装组织的媒体网站，同样的原因，使其也遭受着来自世界各地的各种攻击，曾更换过几次域名，网站目前已经下线。拍拍熊组织除了对上述提到的Amaq媒体网站进行水坑攻击外，我们发现Al Swarm新闻社也同样被该组织用来水坑攻击。360烽火实验室通过对此次拍拍熊攻击活动的分析，结合之前对黄金鼠组织的分析发现两个组织除掉攻击目标和各自的专属RAT外，两者在下面几个方面有很强的关联性。均熟悉阿拉伯语，持续数年针对Android和Windows平台，擅长水坑攻击。均使用多种RAT，其中大多数双方都有使用。两个组织在两个时间段内使用了处于同一网段的C&C。拍拍熊组织在2015年10月出现首个攻击样本，使用的C&C位于中东某国，恰与该时期黄金老=鼠采用的处于同一个网段，2017年3月某武装组织Amaq媒体频道发布告警称该网站收到攻击，2017年9月某武装组织AI Swarm新闻媒体网站收到水坑攻击，2019年2月最后一个攻击样本被发现，使用的C&C仍和同时期的黄金鼠组织使用的C&C属于同一个网段。,100,2
8,美人鱼,APT-Q-61 | Prince of Persia | APT-C-07 | Infy group | Operation Mermaid | Infy,伊朗,中东,印度 | 以色列 | 中国,,2026/2/4,美人鱼行动是伊朗针对外国政府机构的APT攻击活动。其活动最早可以追溯到2007年。2016年1月，丹麦国防部情报局所属的网络安全中心（CFCS，Centre for Cyber Security）发布了一份名为“关于对外交部APT攻击的报告”的APT研究报告，报告主要内容是CFCS发现了一起从2014年12月至2015年7月针对丹麦外交部的APT攻击，相关攻击主要利用鱼叉邮件进行载荷投递。,100,1
9,北非狐,APT-C-44,阿尔及利亚,非洲,,公共管理 | 社会保障 | 社会组织,2020/10/26,北非狐是2020年由奇虎360披露的一个APT组织。该组织自2017年开始针对阿拉伯语地区长达三年的网络攻击活动，具备windows与Android双平台攻击能力。该组织主要利用钓鱼网站和第三方托管网站进行载荷投递，利用社交媒体进行传播。受害者集中在阿拉伯语地区，根据分析，其中包含疑似具有军事背景的相关人员。,42,1
10,APT-Q-92,Lamberts | The Lamberts | Platinum Terminal | Longhorn | APT-C-39,美国,北美洲,中国,国际组织 | 公共管理 | 服务业 | 教育 | 制造业 | 金融,2025/3/25,APT-Q-92由国外安全厂商赛门铁克在 Vault 7 泄漏间谍工具后命名。APT-Q-92至少从2011年开始活动，感染了来自至少16个国家包括中东、欧洲、亚洲和非洲等的40个目标，主要影响金融、电信、能源、航空航天、信息科技、教育、和自然资源等部门。它使用了多种后门木马结合0day漏洞进行攻击。在2014年，赛门铁克捕获到使用word文档的零日漏洞 CVE-2014-4148 的Plexor ，注意到了APT-Q-92的攻击活动。2019年9月，奇安信威胁情报中心红雨滴团队发布《美国中央情报局网络武器库分析与披露》，详细对历史曝光的CIA网络武器及相关资料进行研究，并发现了多种网络武器文件，并且根据分析的结果与现有公开资料内容进行了关联和判定。并且还发现这些网络武器曾用于攻击中国的目标人员和机构，其相关攻击活动主要发生在2012年到2017年（与Vault7资料公开时间相吻合），并且在其相关资料被曝光后直至2018年末，依然维持着部分攻击活动，目标可能涉及国内的航空行业。,100,5
11,Slingshot,,美国,北美洲,肯尼亚 | 也门 | 阿富汗 | 利比亚 | 刚果 | 约旦 | 土耳其 | 伊拉克 | 苏丹 | 索马里 | 坦桑尼亚,,2018/3/20,Slingshot行动由卡巴斯基披露并命名，该名称出现在此次攻击行动的一些恶意样本中。该攻击行动最早可追溯至2012年，并且在2018 年 2 月仍然活跃。美国情报办公室披露该攻击行动为美军方Special Operations Command (SOCOM)下的Joint Special Operations Command (JSOC)所为。Slingshot行动的受害者分布在肯尼亚，也门，阿富汗，利比亚，刚果，约旦，土耳其，伊拉克，苏丹，索马里和坦桑尼亚等国家。此次披露的攻击行动中大部分受害者是通过Windows 漏洞或被入侵的Mikrotik路由器感染的。Slingshot利用Mikrotik路由器的方法暂不清楚，目标受害者接入被感染的路由器后便会从中下载恶意软件相关组件，包括两个主要的木马模块：内核模式模块Cahnadr和用户模式模块GollumApp。这两个模块相互连接，能够在信息收集，持久化和数据窃取方面相互支持。,13,1
12,SandCat,APT-C-32,乌兹别克斯坦,中东,沙特阿拉伯,,2019/10/3,SandCat（羣猫）是乌兹别克斯坦支持的国家级APT组织，成立时间可追溯至2018年前，该组织主要从事间谍活动，专注于对中东地区的网络攻击，目标包括政府、军事、电力、工业和外交等领域。其攻击手法以利用零日漏洞和供应链攻击为主，具备高破坏力。典型攻击事件包括针对中东和非洲地区的Windows零日漏洞攻击（CVE-2018-8589、CVE-2018-8611、CVE-2019-0797），并使用FinFisher/FinSpy间谍软件框架及CHAINSHOT工具链。该组织具有较低的攻击活跃度，且攻击技术相当强大，具备与美国情报机构相当的能力。,10,1
13,Ghostwriter,Storm-0257 | PUSHCHA | UAC-0051 | Operation Ghostwriter | UAC-0057 | UNC1151 | DEV-0257 | TA445 | White Lynx,俄罗斯,东欧,威特 | 法国 | 立陶宛 | 波兰 | 乌克兰 | 爱尔兰 | 哥伦比亚 | 爱沙尼亚 | 拉脱维亚 | 德国 | 瑞士 | 拉托维亚 | 白俄罗斯,公共管理 | 社会保障 | 社会组织 | 娱乐业,2025/8/20,Ghostwriter（又称UNC1151、UAC-0057）自2016年起活跃，是一支专注于网络间谍和虚假信息操纵的高级持续威胁（APT）组织，主要针对乌克兰及东欧国家。其攻击手法包括通过钓鱼邮件传播含恶意宏的XLS文件，配合恶意DLL文件，最终部署Cobalt Strike木马以建立持久控制。攻击本质服务于地缘政治目标，尤其通过虚假信息影响选举（如德国大选）和制造地区紧张局势。其基础设施特征包括大量使用.shop域名的Cloudflare托管站点，注册商为PublicDomainRegistry。,100,4
14,InvisiMole,,俄罗斯,东欧,乌克兰,公共管理 | 社会保障 | 社会组织,2022/3/23,InvisiMole于2018 年 6 月被国外安全厂商ESET 披露，至少自 2013 年以来一直活跃。并和Gamaredon组织存在合作，曾发现Gamaredon 的.NET下载器下载执行了InvisiMole的TCP下载器。InvisiMole行动针对乌克兰、俄罗斯、东欧军事部门及外交部等。曾持久潜伏长达五年以上，持续窃取受感染主机麦克风录音、屏幕截图、窗口截图和机密信息等内容。InvisiMole活动具有极强的针对性，通常仅对特定主机感染，可使用Nday漏洞传播，在内网中窃取文档污染软件安装包分发恶意软件，甚至替换驱动程序为自己的后门。最晚自2013年起就对乌克兰及俄罗斯进行了长达5年以上的持久攻击，从2019年起攻击东欧军事部门及外交部并与Gamaredon组织合作。,100,1
15,卢甘斯克,LPR,卢甘斯克,东欧,乌克兰,公共管理 | 社会保障 | 社会组织,2020/11/9,LPR是一个由fireeye披露的来自于所谓的卢甘斯克共和国，针对乌克兰政府进行攻击的恶意组织。根据恶意文件的编译日期来看该组织最早从2014年开始活动了。该组织主要通过恶意鱼叉邮件投递lnk文件和自解压文件进行攻击，并在后续使用QUASARRAT和RATVERMIN。该组织的攻击者会经常检查新的受害者的信息并作出针对性对应。在一个捕获的例子中攻击者通过RATVERMIN在非预期的目标上手动分发了勒索软件。该组织所用的部分域名的注册邮箱re2a1er1@yandex.ru与卢甘斯克国家安全部的域名的注册邮箱相同。,100,1
16,WellMess,APT-C-42 | 魔鼠,俄罗斯,东欧,中国 | 日本,公共管理 | 社会保障 | 社会组织,2020/7/17,WellMess组织是一个一直未被业界认定的APT组织，多方面数据显示该组织在2017至2019年间的攻击活动开始频繁活跃，其中日本互联网应急响应中心于2018年曾报道过该组织的相关攻击活动，但并未将其归属为APT组织。在2019年，360高级威胁研究院为其分配了一个360内部专属的APT组织编号：APT-C-42，WellMess组织的命名源于其工具代码中一个核心函数名，其功能原本的全称含义可能为“Welcome Message”。WellMess多次行动主要是攻击目标的服务器，以长期持续控制和内网渗透为目的和针对网络基础服务供应商技术人员的定向攻击，以恶意VPN服务社工钓鱼作为切入点进行供应链攻击。WellMess组织发起的都是针对性极强的定向攻击，对目标进行了较长时间的控制。攻击前期进行了周密的筹划，针对目标和关联目标发动了供应链攻击行动，擅长使用GO语言构建攻击武器，具备Windows和Linux双平台攻击能力。自2017年12月，起始目标为某机构的服务器，在获取初始权限后部署后门并在内网横向移动。2019年8月-2019年9月期间后该组织的攻击目标开始转向某网络基础服务提供商，利用社会工程学诱导技术人员触发某VPN产品漏洞植入后门。,6,1
17,旺刺,APT-C-47 | ClickOnce,韩国,东亚,中国 | 朝鲜,,2025/6/24,旺刺(APT-Q-14)组织最早的攻击活动可以追溯到2018年。来自韩国，主要针对与半岛地区有关联的实体机构和个人。在攻击的前半段使用多个c#模块，在攻击后半段中使用go语言模块，同时是目前唯一被披露使用ClickOnce技术进行攻击活动的组织。该组织通过向受害者投递包含伪装的安全插件升级钓鱼邮件实施攻击，当受害者点击伪装的升级钓鱼链接后会进入伪装的插件网页点击安装链接，会下载安装ClickOnce程序的部署文件（*.appref-ms），该文件包含了恶意的ClickOnce程序地址，并且在下载安装完成后会欺骗用户安全模块更新完成。至此，攻击者成功入侵目标主机并驻留。从 2019 之后有关 Darkhotel 组织的行动在开源情报中的占比连年降低，与此同时政企终端中出现了数个具有朝鲜半岛背景并且技战术不同的攻击集合，我们根据特马和目标行业对这些攻击集合进行了分类，分别为 APT-Q-11(虎木槿)、APT-Q-12(伪猎者)、APT-Q-14(旺刺)、APT-Q-15、UTG-Q-005 等，经过五年的持续跟踪发现这些组织之间互有重叠，我们认为这些攻击集合都是当年 Darkhotel 的子集。APT-Q-14在 2022 年- 2023 年投递针对 Android 平台的 0day 漏洞，触发逻辑与 Win 平台类似，通过 app 解析邮件结构中出现的 XSS 漏洞调用内部接口从而执行附件中的恶意代码。最后从手机中读取对应 app 中的邮件数据经过 tar 打包后通过 toybox 执行 nc 命令上传到 C2 域名上。攻击者想要刺探与中朝贸易有关的情报。,61,3
18,毒云藤,GreenSpot | APT-C-01 | PoisonVine | APT-Q-20 | 绿斑 | 穷奇 | 白海豚,中国台湾,东亚,中国,公共管理 | 社会保障 | 社会组织 | 服务业,2025/6/5,毒云藤是在2015年6月被奇安信公开揭露的一个APT组织，其最早的活动可以追溯到2007年。毒云藤组织对中国国防、政府、科技、教育以及海事机构等重点单位和部门进行了长达11年的网络间谍活动。该组织主要关注军工、中美关系、两岸关系和海洋相关领域，其关注的领域与海莲花（OceanLotus）APT组织有一定相似的地方。该组织在初始攻击环节主要采用鱼叉式钓鱼邮件攻击，攻击之前对目标进行了深入调研和精心挑选，选用与目标所属行业或领域密切相关的内容构造诱饵文件和邮件，主要是采用相应具体领域相关会议材料、研究成果或通知公告等主题。其主要使用的RAT工具是修改ZXShell、Poison Ivy、XRAT，也有使用0day漏洞。,100,4
19,芜琼洞,APT-C-59 | APT-Q-13,韩国,东亚,中国,,2021/11/2,芜琼洞（APT-C-59）是2021年上半年被首次披露的新兴网络攻击组织，主要针对东亚和东南亚地区政府、教育、科研、媒体及医疗机构实施精准攻击。其攻击手段以浏览器0day漏洞（如CVE-2021-26411）、水坑攻击及钓鱼邮件投放恶意软件为核心，具备立体化的攻击能力，攻击作战特征呈现短期集中频率高速的特点。典型攻击事件包括2021年1月攻击中国科研机构、同年3月通过内网环境实施水坑攻击及5月利用篡改安装包攻击医疗机构的动态攻击链。其攻击逻辑往往围绕国际事务热点事件展开定制化攻击作战，显示出高度灵活的攻击策略。该组织的攻击工具和TTP模块未发现与已知APT组织完全重叠特征，且攻击行动呈现朝鲜半岛背景的初步技术关联性。,15,1
20,蓝宝菇,APT-C-12 | 核危机 | BlueMushroom,中国台湾,东亚,中国,公共管理 | 社会保障 | 社会组织 | 教育 | 服务业,2020/10/13,蓝宝菇（APT-C-12/BlueMushroom）是从2011年开始活跃的网络间谍组织，长期针对中国政府、军工、科研和金融等重点领域发动定向攻击。其攻击手法以高度针对性的鱼叉邮件为主，伪装成合法文件（如通信录、会议日程）诱导受害者执行恶意程序。该组织使用自研后门（如Bfnet、Poison Ivy）、PowerShell脚本和横向移动工具对抗安全检测，窃取核工业、科研数据等敏感信息，并利用云服务托管窃取数据。攻击目标集中于中国北京、上海和海南地区，教育科研机构占比最高。组织背景推测与亚太地缘政治有关，可能存在中国台湾地区背景的暗示。,100,2
21,Aggah,Hagga,巴基斯坦,南亚,,政府 | 教育 | 医疗,2023/6/30,Aggah（别名Hagga）是一个专注于信息窃取和间谍活动的网络攻击威胁组织。首次被Unit 42在2019年3月披露，其早期活动主要针对中东国家，后续扩展至全球多个地区。与巴基斯坦的Gorgon Group存在操作指标相似性但未被正式关联。攻击手法包括钓鱼邮件、漏洞利用（如CVE-2017-11882）、剪贴板劫持加密货币地址、利用商业远程控制木马（如Agent Tesla、NanoCore RAT）、剪贴板数据窃取等技术，目标行业涵盖政府、制造业、教育、医疗保健等。,100,2
